SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
SQUARE 2,10,SINARAN DRIVE,SQUARE 2,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,307506,29206.6219763951,33662.3806673996,1.32070510956845,103.844160709661,103.844160709661,Square 2
IMM BUILDING,2,JURONG EAST STREET 21,IMM BUILDING,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,609601,18381.9356864095,35229.409786731,1.33487526118006,103.746894773008,103.746894773008,IMM
TANGLIN MALL,163,TANGLIN ROAD,TANGLIN MALL,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,247933,26946.5451086154,31908.4783786591,1.30484344196915,103.823852794772,103.823852794772,Tanglin Mall
SCOTTS SQUARE,6,SCOTTS ROAD,SCOTTS SQUARE,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,228209,27972.8591879476,32014.1846202537,1.30579942993543,103.833074706219,103.833074706219,Scotts Square
WHITE SANDS,1,PASIR RIS CENTRAL STREET 3,WHITE SANDS,1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,518457,40953.5843543084,39384.358354453,1.37244981663527,103.949715694737,103.949715694737,White Sands
TECK WHYE SHOPPING CENTRE,137,TECK WHYE LANE,TECK WHYE SHOPPING CENTRE,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,680137,19004.1078333827,40224.3126699142,1.38004752975397,103.752483841199,103.752483841199,Teck Whye Shopping Centre
THE POIZ CENTRE,51,UPPER SERANGOON ROAD,THE POIZ CENTRE,51 UPPER SERANGOON ROAD THE POIZ CENTRE SINGAPORE 347697,347697,31883.5016925149,34855.7263145093,1.33149708073624,103.86821402533,103.86821402533,The Poiz
TANJONG PAGAR CENTRE,5,WALLICH STREET,TANJONG PAGAR CENTRE,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,078883,29404.2523569511,28783.6531160194,1.27658360696843,103.845936303594,103.845936303594,Tanjong Pagar Centre
VISTA POINT,548,WOODLANDS DRIVE 44,VISTA POINT,548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548,730548,23616.35523888,45846.8909037989,1.43089714603015,103.793927429476,103.793927429476,Vista Point
BEDOK MALL,311,NEW UPPER CHANGI ROAD,BEDOK MALL,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,467360,38676.9034392368,34108.3360637221,1.32473632784728,103.929256259998,103.929256259998,Bedok Mall
KEAT HONG SHOPPING CENTRE,253,CHOA CHU KANG AVENUE 1,KEAT HONG SHOPPING CENTRE,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253,680253,18103.7591441153,39927.8427333515,1.37736607441394,103.744393648768,103.744393648768,Keat Hong Shopping Centre
JUBILEE SQUARE,61,ANG MO KIO AVENUE 8,JUBILEE SQUARE,61 ANG MO KIO AVENUE 8 JUBILEE SQUARE SINGAPORE 569814,569814,29615.7860936848,39310.6009079777,1.37178558575829,103.847837565378,103.847837565378,Jubilee Square
KATONG SHOPPING CENTRE,865,MOUNTBATTEN ROAD,KATONG SHOPPING CENTRE,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,437844,35589.7415065095,31826.0758814793,1.3040973115095,103.901515916971,103.901515916971,Katong Shopping Centre
SUNSHINE PLAZA,10,PRINSEP LINK,SUNSHINE PLAZA,10 PRINSEP LINK SUNSHINE PLAZA SINGAPORE 187948,187948,29918.3768824488,31424.5976224914,1.30046735366415,103.850556061949,103.850556061949,Sunshine Plaza
UOB YEW TEE POINT,21,CHOA CHU KANG NORTH 6,UOB YEW TEE POINT,21 CHOA CHU KANG NORTH 6 UOB YEW TEE POINT SINGAPORE 689578,689578,18356.2918939041,42105.204496216,1.39705741516141,103.746662121143,103.746662121143,Yew Tee Point
WESTGATE,3,GATEWAY DRIVE,WESTGATE,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,608532,17922.4971140614,35150.0792780221,1.33415767556867,103.742766484424,103.742766484424,Westgate
COMPASS ONE,1,SENGKANG SQUARE,COMPASS ONE,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,545078,34872.1834410084,41551.7693360616,1.39205314156706,103.89507054384,103.89507054384,Compass One
UPPER SERANGOON SHOPPING CENTRE,756,UPPER SERANGOON ROAD,UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,534626,33064.697135333,37286.5960918665,1.35348082277147,103.878828134896,103.878828134896,Upper Serangoon Shopping Centre
PEOPLE'S PARK CENTRE,101,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,058357,29186.540773402,29799.4470430557,1.28577009981805,103.843980122838,103.843980122838,People's Park Centre
WATERWAY POINT,83,PUNGGOL CENTRAL,WATERWAY POINT,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,828761,35655.0554567808,43147.5521318838,1.40648462132006,103.902105680785,103.902105680785,Waterway Point
BUKIT PANJANG PLAZA,1,JELEBU ROAD,BUKIT PANJANG PLAZA,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,677743,20325.461808118,40210.2194124069,1.37992045176243,103.764357180314,103.764357180314,Bukit Panjang Plaza
THE RAIL MALL,452,UPPER BUKIT TIMAH ROAD,THE RAIL MALL,452 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678206,678206,20684.6500337403,37981.0361372996,1.35976061966283,103.767585300058,103.767585300058,Rail Mall
TAMAN JURONG SHOPPING CENTRE,399,YUNG SHENG ROAD,TAMAN JURONG SHOPPING CENTRE,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,610399,15440.244104865,35226.1689331774,1.33484487416514,103.720462024278,103.720462024278,Taman Jurong Shopping Centre
HOUGANG 1,1,HOUGANG STREET 91,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,33136.3424516348,39745.1742408983,1.37571530699875,103.879472337592,103.879472337592,Hougang 1
UNITED SQUARE,101,THOMSON ROAD,UNITED SQUARE,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,307591,29145.4956319379,33274.1963187363,1.31719450988559,103.843611443038,103.843611443038,United Square
JURONG POINT,1,JURONG WEST CENTRAL 2,JURONG POINT,1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886,648886,13907.0305282837,35735.7564695235,1.33945271661445,103.70668501289,103.70668501289,Jurong Point
MARSILING MALL HAWKER CENTRE,4,WOODLANDS STREET 12,MARSILING MALL HAWKER CENTRE,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,738623,22053.3037563628,46139.5079379082,1.43354318137534,103.77988189197,103.77988189197,Marsiling Mall
BEAUTY WORLD CENTRE,144,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD CENTRE,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,588177,21681.0911870794,36062.7591135893,1.34241264188642,103.776539385406,103.776539385406,Beauty World Centre
BUANGKOK SQUARE,991,BUANGKOK LINK,BUANGKOK SQUARE,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991,530991,33375.6730938945,40698.2200346421,1.38433426615655,103.881623070164,103.881623070164,Buangkok Square
RIVERVALE MALL,11,RIVERVALE CRESCENT,RIVERVALE MALL,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,545082,35918.3976602554,41567.7920261901,1.39219777838449,103.904471600025,103.904471600025,Rivervale Mall
MARINA SQUARE,6,RAFFLES BOULEVARD,MARINA SQUARE,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,039594,30811.1659309082,30472.3321676366,1.29185533273026,103.85857808906,103.85857808906,Marina Square
THE CENTREPOINT,176,ORCHARD ROAD,THE CENTREPOINT,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,238843,28716.7630815674,31591.6722616088,1.30197836876806,103.839759023144,103.839759023144,The Centrepoint
MYVILLAGE AT SERANGOON GARDEN,1,MAJU AVENUE,MYVILLAGE AT SERANGOON GARDEN,1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679,556679,31543.5162021946,38573.0096142385,1.36511490572797,103.865159501442,103.865159501442,myVillage At Serangoon Garden
HEARTLAND MALL-KOVAN,205,HOUGANG STREET 21,HEARTLAND MALL-KOVAN,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,530205,33770.1681960914,37956.7995033581,1.35954177325561,103.885167372726,103.885167372726,Heartland Mall
WISTERIA MALL,598,YISHUN RING ROAD,WISTERIA MALL,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,768698,28884.7489383351,44415.5435907897,1.41795288501536,103.841268831617,103.841268831617,Wisteria Mall
LUCKY PLAZA,304,ORCHARD ROAD,LUCKY PLAZA,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,238863,28071.6446550656,31871.1689420138,1.30450604646634,103.833962339817,103.833962339817,Lucky Plaza
TIONG BAHRU PLAZA,302,TIONG BAHRU ROAD,TIONG BAHRU PLAZA,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,168732,27298.4929601206,29875.6088268161,1.28645889472825,103.827015256194,103.827015256194,Tiong Bahru Plaza
VIVOCITY,1,HARBOURFRONT WALK,VIVOCITY,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585,098585,26774.2363178767,27424.6391711198,1.26429316783973,103.82230469365,103.82230469365,VivoCity
BROADWAY PLAZA,4190,ANG MO KIO AVENUE 6,BROADWAY PLAZA,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,569841,29405.6611802531,39327.374546783,1.37193729131781,103.845949444498,103.845949444498,Broadway Plaza
THE SHOPPES AT MARINA BAY SANDS,2,BAYFRONT AVENUE,THE SHOPPES AT MARINA BAY SANDS,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972,018972,30856.1576845003,29629.71109147,1.28423496027027,103.858982282698,103.858982282698,The Shoppes at Marina Bay Sands
FAJAR SHOPPING CENTRE,446,FAJAR ROAD,FAJAR SHOPPING CENTRE,446 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670446,670446,21068.0308836559,40661.938983012,1.38400582466296,103.771029603101,103.771029603101,Fajar Shopping Centre
"LOT ONE, SHOPPERS' MALL",21,CHOA CHU KANG AVENUE 4,"LOT ONE, SHOPPERS' MALL","21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812",689812,18172.5792770851,40769.1529334113,1.38497459672379,103.745011766388,103.745011766388,Lot One
JEM,52,JURONG GATEWAY ROAD,JEM,52 JURONG GATEWAY ROAD JEM SINGAPORE 608550,608550,18004.5380601753,35028.6999717783,1.33305999269581,103.743503708169,103.743503708169,Jem
SIM LIM SQUARE,1,ROCHOR CANAL ROAD,SIM LIM SQUARE,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,188504,30194.5713863662,31707.3292541914,1.3030242605718,103.853037814067,103.853037814067,Sim Lim Square
HOUGANG MALL,90,HOUGANG AVENUE 10,HOUGANG MALL,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,34728.1240016175,39389.1175711397,1.37249493810003,103.893775562605,103.893775562605,Hougang Mall
ELIAS MALL,625,ELIAS ROAD,ELIAS MALL,625 ELIAS ROAD ELIAS MALL SINGAPORE 510625,510625,40092.4603688922,40064.6402175538,1.37860239771677,103.941978174681,103.941978174681,Elias Mall
ANCHORPOINT SHOPPING CENTRE,370,ALEXANDRA ROAD,ANCHORPOINT SHOPPING CENTRE,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953,159953,24849.4909352409,30114.0022209603,1.28861469030586,103.805009964592,103.805009964592,Anchorpoint
GREENWICH V,1,SELETAR ROAD,GREENWICH V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,807011,31986.0138748605,41036.6794434916,1.38739539397015,103.869135978173,103.869135978173,Greenwich V
GEK POH SHOPPING CENTRE,762,JURONG WEST STREET 75,GEK POH SHOPPING CENTRE,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,640762,12910.7207379946,36763.1478772014,1.34874357136408,103.697732091001,103.697732091001,Gek Poh Shopping Centre
ION ORCHARD,2,ORCHARD TURN,ION ORCHARD,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,238801,27856.8520553298,31812.9728713278,1.30397974144505,103.832032328465,103.832032328465,ION Orchard
ALEXANDRA RETAIL CENTRE (ARC),460,ALEXANDRA ROAD,ALEXANDRA RETAIL CENTRE (ARC),460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,119963,24447.647553565,28514.458416285,1.27414893629254,103.801399416665,103.801399416665,Alexandra Retail Centre
HDB HUB,490,LORONG 6 TOA PAYOH,HDB HUB,490 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310490,310490,29680.4882372022,34974.0978306755,1.33256779261697,103.848418718015,103.848418718015,HDB Hub
PUNGGOL PLAZA,168,PUNGGOL FIELD,PUNGGOL PLAZA,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,820168,36872.7560856491,41793.3313643504,1.39423719717117,103.913047323223,103.913047323223,Punggol Plaza
AMK HUB,53,ANG MO KIO AVENUE 3,AMK HUB,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,569933,29687.0565410079,39045.6241728477,1.36938922690344,103.84847796594,103.84847796594,AMK Hub
UOB I12 KATONG AUTOLOBBY,112,EAST COAST ROAD,UOB I12 KATONG AUTOLOBBY,112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802,428802,35982.3737051114,31950.5665851086,1.30522306203042,103.905043928938,103.905043928938,i12 Katong
WHEELOCK PLACE,501,ORCHARD ROAD,WHEELOCK PLACE,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,238880,27702.1243623979,31889.9934485909,1.30467628730252,103.830642027577,103.830642027577,Wheelock Place
WOODLANDS CIVIC CENTRE,900,SOUTH WOODLANDS DRIVE,WOODLANDS CIVIC CENTRE,900 SOUTH WOODLANDS DRIVE WOODLANDS CIVIC CENTRE SINGAPORE 730900,730900,22837.7549436502,46302.6016107351,1.43501829566013,103.786930895956,103.786930895956,Woodlands Civic Centre
321 CLEMENTI,321,CLEMENTI AVENUE 3,321 CLEMENTI,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905,129905,20395.3064215332,32700.1500842664,1.31200212030821,103.764986676365,103.764986676365,321 Clementi
KATONG SQUARE,86,EAST COAST ROAD,KATONG SQUARE,86 EAST COAST ROAD KATONG SQUARE SINGAPORE 428788,428788,35900.378342581,31940.8380616587,1.30513510179213,103.904307160288,103.904307160288,Katong Square
BUKIT TIMAH PLAZA,1,JALAN ANAK BUKIT,BUKIT TIMAH PLAZA,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996,588996,21910.4149615103,35658.7866516709,1.33875930729064,103.778600077834,103.778600077834,Bukit Timah Plaza
BUGIS BACKPACKERS HOSTEL,162B,ROCHOR ROAD,BUGIS BACKPACKERS HOSTEL,162B ROCHOR ROAD BUGIS BACKPACKERS HOSTEL SINGAPORE 188437,188437,30432.1584716914,31478.1598162092,1.30095171530648,103.855172625542,103.855172625542,Bugis+
ORCHARD PLAZA,150,ORCHARD ROAD,ORCHARD PLAZA,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,238841,28871.5825470258,31511.9399756845,1.30125729409965,103.841150144584,103.841150144584,Orchard Plaza
ZHUJIAO CENTRE (TEKKA MARKET),665,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,210665,29924.3737569908,32056.0217537805,1.30617773048079,103.850609985486,103.850609985486,Tekka Centre
888 PLAZA,888,WOODLANDS DRIVE 50,888 PLAZA,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,730888,23770.7139348229,46535.313734604,1.43712301500434,103.795314383823,103.795314383823,888 Plaza
BUGIS CUBE,470,NORTH BRIDGE ROAD,BUGIS CUBE,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,188735,30483.6570850834,31167.3475166354,1.2981408343975,103.855635339249,103.855635339249,Bugis Cube
SINGAPORE SHOPPING CENTRE,190,CLEMENCEAU AVENUE,SINGAPORE SHOPPING CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,239924,29201.1359043466,31168.6460736729,1.29815265394505,103.844111318107,103.844111318107,Singapore Shopping Centre
PEOPLE'S PARK COMPLEX,1,PARK ROAD,PEOPLE'S PARK COMPLEX,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,059108,29024.0389001919,29618.5318235587,1.28413397178419,103.842519972666,103.842519972666,People's Park Complex
ZHONGSHAN MALL,20,AH HOOD ROAD,ZHONGSHAN MALL,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,329984,29473.0098957308,34352.36196642,1.32694504456951,103.846554377679,103.846554377679,Zhongshan Mall
THE ADELPHI,1,COLEMAN STREET,THE ADELPHI,1 COLEMAN STREET THE ADELPHI SINGAPORE 179803,179803,29988.3056711266,30398.2072981074,1.29118503658447,103.851184338699,103.851184338699,The Adelphi
SINGAPORE POST CENTRE,10,EUNOS ROAD 8,SINGAPORE POST CENTRE,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,408600,34852.8436825443,33473.5521862414,1.31899666903663,103.894894915962,103.894894915962,Singpost Centre
SUNSHINE PLACE,475,CHOA CHU KANG AVENUE 3,SUNSHINE PLACE,475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475,680475,17505.2381877424,39986.603392737,1.37789727599928,103.739015486021,103.739015486021,Sunshine Place
WEST COAST PLAZA,154,WEST COAST ROAD,WEST COAST PLAZA,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371,127371,20522.6670748433,31781.8626809642,1.30369748971099,103.766131294678,103.766131294678,West Coast Plaza
SUN PLAZA,30,SEMBAWANG DRIVE,SUN PLAZA,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,757713,26462.4476639526,47759.6068513971,1.44819535371132,103.819502127155,103.819502127155,Sun Plaza
JUNCTION 10,1,WOODLANDS ROAD,JUNCTION 10,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,677899,19859.2468093075,40256.2722101696,1.38033681049385,103.760167883439,103.760167883439,Junction 10
BOON LAY SHOPPING CENTRE,221,BOON LAY PLACE,BOON LAY SHOPPING CENTRE,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,640221,14546.4666856667,36496.7915879078,1.34633552457315,103.712430373455,103.712430373455,Boon Lay Shopping Centre
EASTPOINT MALL,3,SIMEI STREET 6,EASTPOINT MALL,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,528833,41321.990633836,36095.4413322229,1.34270592355576,103.953024618234,103.953024618234,Eastpoint Mall
JEWEL CHANGI AIRPORT,78,AIRPORT BOULEVARD,JEWEL CHANGI AIRPORT,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,819666,45334.1767452694,38045.6719939336,1.3603410066102,103.98907755021,103.98907755021,Jewel Changi Airport
CITY PLAZA,810,GEYLANG ROAD,CITY PLAZA,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,409286,34694.5110424841,33008.0531160496,1.3147868971977,103.893472115119,103.893472115119,City Plaza
THOMSON PLAZA,301,UPPER THOMSON ROAD,THOMSON PLAZA,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,574408,27733.0413219538,37417.9340793099,1.35466902496424,103.830919782333,103.830919782333,Thomson Plaza
THE CLEMENTI MALL,3155,COMMONWEALTH AVENUE WEST,THE CLEMENTI MALL,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,129588,20332.589403728,33020.1640930343,1.31489619639366,103.764423054189,103.764423054189,The Clementi Mall
WISMA ATRIA,435,ORCHARD ROAD,WISMA ATRIA,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,238877,27987.4434526861,31782.5683790036,1.30370477426147,103.833205752808,103.833205752808,Wisma Atria
